Name,Address,Author Name,Rating,Review,Time
Los Remanseros,"Costa Rica 3990, C1176ADB CABA, Argentina",Mark T,4,"Decent steaks, but not sold on the device as it took forever to get the bill and cash out (plus, did not want me to use a credit card).  Also, fries for a side,  they need to be more creative.",3 years ago
Los Remanseros,"Costa Rica 3990, C1176ADB CABA, Argentina",Nicolás Pírez,4,First time here. Really nice place. At the beginning I wasn't very happy with the way we were greeted but our actual waiter was really helpful and nice. We share an ojo de bife with salad and the meat came exactly as ordered. Good quality. It was a good addition to our pool of restaurants in the neighborhood.,2 years ago
Los Remanseros,"Costa Rica 3990, C1176ADB CABA, Argentina",Richard Dias,5,"Really great spot. Very affordable. Huge portions! Great service and chill atmosphere - clearly a local haunt. I highly recommend it. Again, nothing super special just great food at a super reasonable price.",4 years ago
Los Remanseros,"Costa Rica 3990, C1176ADB CABA, Argentina",Josh LaPorte,5,"This is my favorite place to eat when I'm in BA. Full of locals, friendly service, very generous portions. Often a small wait for a table.",a year ago
Los Remanseros,"Costa Rica 3990, C1176ADB CABA, Argentina",Daniel Sapoznik,4,Good steak,4 months ago
Zorrabar,"Bulnes 910, C1176ABR CABA, Argentina",Go Academics,4,"Ok, the place is nice, there are comfortable seats, the menu is wide but the kitchen closes very early and the pizza is not good",9 months ago
Zorrabar,"Bulnes 910, C1176ABR CABA, Argentina",Dale N,5,Great live jazz night,a week ago
Zorrabar,"Bulnes 910, C1176ABR CABA, Argentina",Op,5,"Great space with great vibe. LGBTQ more than friendly. Rotating art exhibits from time to time. Outdoor space, good comfort food and beer on tap. Not bad drinks also.",2 years ago
Zorrabar,"Bulnes 910, C1176ABR CABA, Argentina",Sean Stevens,5,Passed by and was intrigued by cocktail bar. Only had cocktails but menu was quite large and drinks were well made and well priced.,3 years ago
Zorrabar,"Bulnes 910, C1176ABR CABA, Argentina",Gabriel Giura,5,"Very nice, cool and quiet place to go for drinks!",4 years ago
Overo Bar de Copas,"Nicaragua 4583, C1414 Palermo Viejo, Buenos Aires, Argentina",Maria Gordienko,5,"Great place for wine tasting. The wine list is pretty extensive and you have some nice bites for pairing. The bar has several seating options, I would highly recommend the terrace",3 months ago
Overo Bar de Copas,"Nicaragua 4583, C1414 Palermo Viejo, Buenos Aires, Argentina",Adrian Ancona,4,Very nice place for date . Prices are decent. The waiters are nice but it was hard to get their attention when we needed them.,4 weeks ago
Overo Bar de Copas,"Nicaragua 4583, C1414 Palermo Viejo, Buenos Aires, Argentina",Aprile Wenke,3,"The venue is beautiful and terrace lovely, but the service was not great. For a wine bar they did not seem to have good knowledge of the list or be able to make recommendations.",3 months ago
Overo Bar de Copas,"Nicaragua 4583, C1414 Palermo Viejo, Buenos Aires, Argentina",A Pozzo,5,"The place is gorgeous, and service was amazing. Good selection of wines, and I loved the experience, but did not like the fried lamb empanadas... all in all I recommend it!",6 months ago
Overo Bar de Copas,"Nicaragua 4583, C1414 Palermo Viejo, Buenos Aires, Argentina",Karl F Godel,4,Good prices and a wide selection of wines,5 months ago
BrukBar Buenos Aires,"Fray Justo Sta. María de Oro 1801, C1414 CABA, Argentina",M W,5,"Pleasantly surprised by the quality of the drinks here. I ordered something I wasn't sure would be good and it blew me away. Some of the ingredients seem odd in terms of quality but that doesn't reflect in the flavors you taste. Great vibe, friendly staff, good mix of classics and originals. Will be back.",2 months ago
BrukBar Buenos Aires,"Fray Justo Sta. María de Oro 1801, C1414 CABA, Argentina",Dale N,5,"Fun bar, open late. Nice attention and service from the staff,  especially the guys. Other customers not very friendly?",a week ago
BrukBar Buenos Aires,"Fray Justo Sta. María de Oro 1801, C1414 CABA, Argentina",Michelle N,3,"Drinks are ok, the quality is random the mojito was awful but a more elaborate cocktail was good. No consistency.",7 months ago
BrukBar Buenos Aires,"Fray Justo Sta. María de Oro 1801, C1414 CABA, Argentina",Max Garcia,5,"Best bar with the best price for a drink relation. The staff is really friendly and prices are good. You can ask for anything and they’ll make it for you. Is a Barman’s bar so is opened really late and they have one of the best burguers. Are small but incredible, and the quality of everything is great here. I love this place",3 years ago
BrukBar Buenos Aires,"Fray Justo Sta. María de Oro 1801, C1414 CABA, Argentina",Michelle Sondergaard,5,"I love this bar, great cocktails and snacks! Additional, an incredible style and a lot of good vibes",7 months ago
Tolon Cafe,"Av. Santa Fe 3200, C1425 CABA, Argentina",Rebeka Hengalová,5,"Amazing café, looks great and has a calm atmosphere. We had the breakfast deal of cappuccino with fresh orange juice and three croissants each on multiple occasions and each time the coffee was flavourful and strong, the croissants still warm and crispy. The service is fast and attentive. There's good wifi and they let you sit there and work. The area is nice for a stroll. They even serve lunch sandwiches - we had the veggie and the salmon one, both tasty. Would definitely like to come back.",7 months ago
Tolon Cafe,"Av. Santa Fe 3200, C1425 CABA, Argentina",Rita Pereyra,4,"I had an afternoon coffee break, I order for a “merienda” for two. Everything was delicious but extremely sweet. I ordered a mango juice that was extremely sweetened and I could barely drink it.",5 months ago
Tolon Cafe,"Av. Santa Fe 3200, C1425 CABA, Argentina",Mina Aradski,5,"Nice old fashioned cafe. Prices are afforadble, there’s outdoor seating and they have good cake selection. Crowd is mainly old, but that’s part of the experience!",2 years ago
Tolon Cafe,"Av. Santa Fe 3200, C1425 CABA, Argentina",Alessio Lacco,5,"Come here for lunch order a Milanesa alla Napolitana con Purée of poteto and Espresso.
Really good Food and Service.
Will go back",5 years ago
Tolon Cafe,"Av. Santa Fe 3200, C1425 CABA, Argentina",Susana Ecclestone,5,"I just love this place
Buenos Aires true coffee hangout",a month ago
Café Güemes,"Francisco Acuña de Figueroa 1220, C1180 CABA, Argentina",dan inch,4,It's a nice place. Less traditional than Cafe Lautrec across the street but they do a good deal on café con leche y medialunas,3 years ago
Café Güemes,"Francisco Acuña de Figueroa 1220, C1180 CABA, Argentina",Santiago Martín,2,You get what you pay for. Good attention and low cost but worst possible quality products. Not good at all.,2 years ago
Café Güemes,"Francisco Acuña de Figueroa 1220, C1180 CABA, Argentina",Nicolás Toews,4,Nice cafeteria. But only accept MasterCard or cash.,3 years ago
Café Güemes,"Francisco Acuña de Figueroa 1220, C1180 CABA, Argentina",Artem Korottchenko,1,The orange juice is basically sugar with water and food coloring.,2 years ago
Café Güemes,"Francisco Acuña de Figueroa 1220, C1180 CABA, Argentina",TerrySSSC,5,Great tasting cappuccino!!!,3 years ago
Perro Caffé,"C. 25 Sur 304, San Matías, 72090 Puebla, Pue., Mexico",Oya,5,"It's super amazing!! Cozy, relaxing and welcoming!! The staff is super super attentive and quite joyful that it actually makes you feel like at home. Food is delicious and very well priced and the drinks are tasteful. My recommendation are the wraps, and to drink the tizana berry tea.",4 years ago
Perro Caffé,"C. 25 Sur 304, San Matías, 72090 Puebla, Pue., Mexico",Gabo It,5,"They have so good coffees, and they are very kind and the place inside is good and  ideal to spend time there talking or alone.",a year ago
Perro Caffé,"C. 25 Sur 304, San Matías, 72090 Puebla, Pue., Mexico",Russ and Jaime Salonen,5,"Awesome cafe. Large, open spaces, lots of seating inside and outside. A/C inside. Nice food and drink selection. Good place to chat or get some work done.",3 years ago
Perro Caffé,"C. 25 Sur 304, San Matías, 72090 Puebla, Pue., Mexico",Selkirk Draws,5,"Really nice coffee shop with indoor and outdoor seating. Nice place to draw, study or just chill out.",a year ago
Perro Caffé,"C. 25 Sur 304, San Matías, 72090 Puebla, Pue., Mexico",Alexis Olivier,4,"A bit expensive, but you can have a good time. They close later so you can work or be with friends later than the usual coffees.",3 years ago
La Pulpería del Cotorro,"Pepirí 320, C1437EIH CABA, Argentina",Mike Markin,5,"What a funky bohemian spot in Parque Patricios at the south end of the Subte H line. Pleasant surprise. Typical Argentine food well done, but the place has a cool vibe.",6 years ago
La Pulpería del Cotorro,"Pepirí 320, C1437EIH CABA, Argentina",Amanda Nara,1,"Food is inconsistent. Service is poor even when not busy. Tables often left dirty. Good prices are it's only asset.

After several tries I will never eat here again.",3 years ago
La Pulpería del Cotorro,"Pepirí 320, C1437EIH CABA, Argentina",Santiago Elizalde,5,Great local food with very peculiar dish naming. Nice atmosphere and good prices as well.,5 years ago
La Pulpería del Cotorro,"Pepirí 320, C1437EIH CABA, Argentina",Adrian Felix,4,Great prices. And the food is enjoyable. Too bad they do not accept card payments.,5 years ago
La Pulpería del Cotorro,"Pepirí 320, C1437EIH CABA, Argentina",Julian Cohen,5,"I loved this very very local place in Parque Patricios.
They could do some refurbishing though it might lose soon of its charm.",3 years ago
YIYO EL ZENEIZE,"Av. Eva Perón 4402, C1407HUK CABA, Argentina",Deborah Felder,5,Loved this place. The history and decoration is just amazing. The food is delicious and the service was great. Plates are small so best is to order some of them and share to try them all.  Highly recommended!,2 months ago
YIYO EL ZENEIZE,"Av. Eva Perón 4402, C1407HUK CABA, Argentina",Derek Blackham,5,"Very cool place. Great service, although they hurried us out very unceremoniously.
I'd recommend the appetizers which were amazing but the main dish wasn't anything special.",10 months ago
YIYO EL ZENEIZE,"Av. Eva Perón 4402, C1407HUK CABA, Argentina",matilde ott,5,Yummy,4 months ago
YIYO EL ZENEIZE,"Av. Eva Perón 4402, C1407HUK CABA, Argentina",Kalima Boards,5,love love love,a year ago
YIYO EL ZENEIZE,"Av. Eva Perón 4402, C1407HUK CABA, Argentina",Leo Puoci,4,Nice to go to know it because it is historical. The food is colorful but at least the dishes that we tasted are not unforgettable at all. It is advisable to book because even at 3:30 in the afternoon there are people waiting.,3 months ago
Patio de los lecheros,"Donato Álvarez 175, Bacacay 1686, 1406 CABA, Argentina",Mina Trandafilovski,5,"This was my favourite place to eat in Buenos Aires. I love the idea of an open space with tons of food and drink options. The food is amazing, of high quality, and very, very fairly priced. I love the atmosphere. I love the umbrellas on the ceiling, the art, and neon lights, all of it. The music is great too. I will 100% come back here when I return to Buenos Aires.",7 months ago
Patio de los lecheros,"Donato Álvarez 175, Bacacay 1686, 1406 CABA, Argentina",Antonio Elena,5,"Food courtyard with an amazing atmosphere and one of the best pizza places I tasted in Buenos Aires so far! There is live music, great cocktails, a wide variety of food. And when visiting it with friends, there is no much to ask for. Give it a try!",8 months ago
Patio de los lecheros,"Donato Álvarez 175, Bacacay 1686, 1406 CABA, Argentina",Ricardo Emmel Böck,5,"Wonderful place to go, amazing food and beverage options at good price.

The atmosphere is chilled and laid back. You can stay for hours there.",5 months ago
Patio de los lecheros,"Donato Álvarez 175, Bacacay 1686, 1406 CABA, Argentina",Alex0ss,4,"Really nice place with a little ""Berlin"" aspect. If you come early in the night a music group plays live. Large choice of drinks and food, a bit pricey though. I regret that only one stand really proposes sweet food. Apparently it closed because it was actually illegal, how sad!",in the last week
Patio de los lecheros,"Donato Álvarez 175, Bacacay 1686, 1406 CABA, Argentina",Sepe 99,5,"Great place to go for a meal, a date or just to hangout within a beer or a soft drink. Place is a beautiful Biergarten full of gastronomic offering from Arabic to hot dogs. Great choice to go. You can feel more of the magic if you attend at night . Is a pet friendly place however we recommend to keep the lace on them since there another dogs a and food is accesible to them @dog_of_baires",10 months ago
Asia Box,"Av. Tte. Gral. Donato Álvarez 175, C1406 CABA, Argentina",franklin hernandez,5,Excellent,a year ago
Armenia,"Av. Tte. Gral. Donato Álvarez 175, C1406 CABA, Argentina",Xavier Protto,1,"Half an hour for a tough, raw lamb skewer. Straight to the trash. A disaster.",7 months ago
Armenia,"Av. Tte. Gral. Donato Álvarez 175, C1406 CABA, Argentina",Silvy,4,"Very rich shawarma with french fries, plentiful and well served.",3 years ago
